recipe_id,ingredient_id,quantity
2886,840,1/2  cup
2886,3355,1   cup
2886,2499,2
2886,342,3
2886,63,1 1/2  cups
2886,335,1   teaspoon
2886,6270,1/2  teaspoon
2886,7449,1/2  teaspoon
27208,469,1 (4 -5   lb)
27208,784,1 (1 1/4  ounce) package
27208,2200,
27208,7655,1/2  cup
89204,1252,4 -5
89204,553,1 (15 1/2  ounce) can
89204,1803,1 (15   ounce) can
89204,6265,1 (15   ounce) jar
89204,1910,1 (8   ounce) package
39087,1254,2
39087,4416,4   ounces
39087,905,2   teaspoons
39087,840,2   tablespoons
39087,6335,1      thinly sliced
39087,3670,1/2  cup
39087,6926,2   tablespoons   chopped
39087,6270,1/4  teaspoon
39087,2212,1/4  teaspoon
39087,3486,1/8  teaspoon
39087,3217,1/8  teaspoon
39087,5180,
67256,342,1 1/2  cups
67256,4253,2   teaspoons
67256,2683,3   cups
67256,335,1 1/2  teaspoons
67256,6270,1/4  teaspoon
67256,840,3/4  cup
67256,6906,2 1/8  cups
67256,2499,3   large
67256,7449,2   teaspoons
67256,869,1 1/2  cups
67256,1910,
67256,3834,
67256,7642,
54257,3484,1 1/2  lbs
54257,715,1   slice
54257,2499,1
54257,7616,1   small
54257,7054,1   teaspoon
54257,590,1/4  teaspoon
54257,4053,4   tablespoons
54257,7853,1/2-2/3  cup
54257,155,
54257,2045,
22782,6324,
22782,5010,1   small
22782,3203,3 -4
22782,2131,1 (28   ounce) can
22782,7229,2 (6   ounce) cans
22782,7233,2 (15   ounce) cans
22782,7655,2   cups
22782,382,3   teaspoons
22782,2325,2   teaspoons
22782,800,1 1/2  teaspoons
22782,6270,1   teaspoon
22782,1986,1/4-1/2  teaspoon
22782,2780,1/4  teaspoon
22782,6007,1/4  cup
22782,7164,1   lb
22782,5180,
32204,840,1/2  cup
32204,7406,1/2  cup
32204,6906,1   cup
32204,2499,2
32204,7449,2   teaspoons
32204,2683,1/2  cup
32204,6270,1/4  teaspoon
32204,1388,
32204,5825,
32204,4570,
32204,4958,
32204,1385,
32204,5382,
32204,241,
69173,3484,1 1/2  lbs
69173,2499,1   large
69173,5180,1/2  cup   grated
69173,728,1/3  cup
69173,3184,1 -2   tablespoon   fresh minced
69173,6270,1 -2   teaspoon
69173,2816,1   teaspoon
69173,4717,1/3  cup
69173,2320,1/2  teaspoon
69173,2856,1/4  cup   chopped
68955,1267,8
68955,7655,1   cup
68955,339,1/2  cup
68955,6696,1/3  cup
68955,6906,2 1/2  tablespoons
68955,3203,1
68955,3771,1   small
33919,3484,1   lb
33919,7979,1/2  medium
33919,7060,1 (1 1/4  ounce) package
33919,7258,6   large
33919,6016,1 (16   ounce) can
33919,7056,2 -3   cups   shredded
33919,1920,1 (10 3/4  ounce) can
33919,6654,4   ounces
33919,3810,jarred
82102,840,1/3  cup
82102,3184,2   tablespoons   minced
82102,3217,2   teaspoons
82102,6374,1/2  teaspoon
82102,6365,3/4  cup
82102,1168,1/2  cup   finely grated
82102,5180,1/4  cup   freshly grated
82102,3486,1/2  teaspoon
82102,1252,4
25885,63,2   cups
25885,335,1   teaspoon
25885,6270,1/4  teaspoon
25885,840,1/2  cup
25885,800,3/4  cup
25885,2499,2   large
25885,342,2 1/3  cups   mashed very overripe
28148,5362,2/3  cup
28148,3502,1   teaspoon
28148,2321,1/2  teaspoon
28148,1707,1 1/2  cups
28148,1168,1   cup   shredded
28148,6335,2
28148,7258,6 (8   inch)
28148,4574,2   tablespoons
99476,1833,3   tablespoons
99476,7655,1/2  cup
99476,3217,2   tablespoons
99476,6201,1/2  teaspoon
99476,7557,1   lb
99476,761,2   tablespoons
99476,5010,4   cups
99476,6696,1   small
99476,800,1/3  cup
99476,3512,2   tablespoons
99476,1746,1   teaspoon
99476,7194,hot
135350,4495,1 (8   ounce) package
135350,840,4   tablespoons
135350,2683,4   tablespoons
135350,4717,1   cup
135350,1909,1   cup
