recipe_id,step_number,step_content
2886,1,Remove odd pots and pans from oven.
2886,2,Preheat oven to 350º / 180º.
2886,3,Cream together butter and sugar.
2886,4,Add eggs and crushed bananas.
2886,5,Combine well.
2886,6,"Sift together flour, soda and salt. Add to creamed mixture. Add vanilla."
2886,7,Mix just until combined. Do not overmix.
2886,8,Pour into greased and floured loaf pan.
2886,9,Bake at 350º / 180º for 55 minutes.
2886,10,"Keeps well, refrigerated."
27208,1,Place beef roast in crock pot.
27208,2,Mix the dried mixes together in a bowl and sprinkle over the roast.
27208,3,Pour the water around the roast.
27208,4,Cook on low for 7-9 hours.
27208,5,Use onion soup mix instead of ranch.
27208,6,"Add one cup,of red wine."
27208,7,"Add potatoes,carrots,mushrooms,celery and onion 2-3 hours before end."
89204,1,"Take 4-5 frozen, yes, frozen, boneless chicken breasts put into crock pot."
89204,2,"Add 1 can of black beans, drained, 1 jar of salsa, 1 can of corn drained."
89204,3,Keep in crock pot on high for about 4-5 hours or until chicken is cooked.
89204,4,Add 1 package of cream cheese (just throw it on top!) and let sit for about 1/2 hour.
89204,5,All done and enjoy!
39087,1,Place chicken and Cajun seasoning in a bowl and toss to coat.
39087,2,"In a large skillet over medium heat, sauté chicken in butter or margarine until chicken is tender, about 5 to 7 minutes."
39087,3,"Reduce heat add green onion, heavy cream, tomatoes, basil, salt, garlic powder, black pepper and heat through."
39087,4,Pour over hot linguine and toss with Parmesan cheese.
67256,1,Preheat oven to 275°F (135C).
67256,2,Grease and flour a 9 x 13 pan.
67256,3,"In a small bowl, mix mashed banana with the lemon juice; set aside."
67256,4,"In a medium bowl, mix flour, baking soda and salt; set aside."
67256,5,"In a large bowl, cream 3/4 cup butter and  2 1/8 cups sugar until light and fluffy."
67256,6,"Beat in eggs, one at a time, then stir in 2 tsp vanilla."
67256,7,Beat in the flour mixture alternately with the buttermilk.
67256,8,Stir in banana mixture.
67256,9,Pour batter into prepared pan and bake in preheated oven for one hour or until toothpick inserted in center comes out clean.
67256,10,Remove from oven and place directly into the freezer for 45 minutes.  This will make the cake very moist.
67256,11,"For the frosting, cream the butter and cream cheese until smooth."
67256,12,Beat in 1 teaspoon vanilla.
67256,13,"Add icing sugar and beat on low speed until combined, then on high speed until frosting is smooth."
67256,14,Spread on cooled cake.
67256,15,"Sprinkle chopped walnuts over top of the frosting, if desired."
54257,1,Meatloaf: Combine meat loaf ingredients and place into a loaf baking dish.
54257,2,Smooth out top.
54257,3,Sauce: Combine sauce ingredients and pour on top and sides of meatloaf.
54257,4,Bake at 350°F about 1 hour to 1 hour 15 minutes or until done.
54257,5,ENJOY!
54257,6,*The addition of 1 or 2 teaspoons of Kitchen Bouquet® makes this recipe very good.
54257,7,"**Recipe should be""plump"" from the addition of the milk or Half &amp; Half."
54257,8,It should NOT be runny.
54257,9,***A second batch of sauce served hot is good to serve with the meatloaf.
54257,10,"Nita's Note: I note that some of you are using game meat such as deer -- Deer is a very DRY meat. It is wise to HAVE some fat added to the deer -- especially to ground deer. Maybe 25 % fat, ( I recommend 1 lb of ground venison, and 1/2 lb of deer sausage for fat content), otherwise your results will be poor. I don't know about some of the other game meat some are using. Please consult an expert. The recipe is delicious as it stands! Enjoy! Nita Holleman."
22782,1,"In large, heavy stockpot, brown Italian sausage, breaking up as you stir."
22782,2,"Add onions and continue to cook, stirring occasionally until onions are softened."
22782,3,"Add garlic, tomatoes, tomato paste, tomato sauce and water."
22782,4,"Add basil, parsley, brown sugar, salt, crushed red pepper, and black pepper."
22782,5,Stir well and barely bring to a boil.
22782,6,Stir in red wine.
22782,7,"Simmer on low, stirring frequently for at least an hour.  A longer simmer makes for a better sauce, just be careful not to let it burn!"
22782,8,Cook spaghetti according to package directions.
22782,9,Spoon sauce over drained spaghetti noodles and sprinkle with parmesan cheese.
32204,1,Preheat oven to 350°F.
32204,2,Grease an 8 inch square pan or line with foil.
32204,3,In a medium bowl combine melted butter and cocoa and stir until cocoa is dissolved.
32204,4,Add sugar and mix well.
32204,5,Add eggs one at a time and stir until well combined.
32204,6,"Stir in vanilla, flour and salt until you no longer see any flour (do not overmix)."
32204,7,"Fold in ""WHATEVER FLOATS YOUR BOAT""!"
32204,8,Spread in pan and bake for approximately 25 minutes.
32204,9,"DO NOT OVER-BAKE -- your brownies will come out dry.  Adjust time/temp accordingly for your oven.  If you do the knife/toothpick test, it should come out with moist crumbs, not clean."
32204,10,Cool completely before cutting into squares.
32204,11,For vegetarian omit the marshmallows.
32204,12,"For double recipe, bake in 9x12 pan and add 5 minutes to baking time."
69173,1,Mix all ingredients together in a large bowl.
69173,2,"Shape into small meatballs (at this point you can place on a jelly-roll/baking sheet and freeze to use later, or cover with plastic wrap refrigerate up to 24 hours before using)."
