id,name
0,breads
1,fruit
2,american
3,oven
4,dietary
5,quick-breads
6,weeknight
7,occasion
8,main-dish
10,easy
11,potluck
12,dinner-party
13,fall
14,kid-friendly
15,winter
17,one-dish-meal
18,seasonal
19,comfort-food
20,inexpensive
21,meat
22,to-go
24,vegetables
26,beginner-cook
29,30-minutes-or-less
31,for-1-or-2
33,eggs-dairy
34,pasta
36,cajun
40,romantic
41,stove-top
43,spicy
46,pasta-rice-and-grains
47,number-of-servings
50,for-large-groups
51,desserts
53,cakes
55,tropical-fruit
61,roast
64,low-carb
65,ground-beef
66,low-in-something
68,kwanzaa
69,meatloaf
75,european
77,italian
81,oamc-freezer-make-ahead
83,pork-sausage
85,spaghetti
87,60-minutes-or-less
91,lunch
96,finger-food
98,picnic
99,vegetarian
100,cookies-and-brownies
101,chocolate
102,bar-cookies
103,brownies
109,presentation
111,appetizers
115,high-protein
118,high-in-something
125,asian
126,japanese
134,low-calorie
139,chicken-thighs-legs
140,savory
143,served-hot
145,casseroles
147,mexican
156,cheese
173,tex-mex
185,lactose
190,chinese
193,free-of-something
195,steak
196,broccoli
214,high-calcium
217,northeastern-united-states
220,elbow-macaroni
243,drop-cookies
251,bisques-cream-soups
252,soups-stews
259,very-low-carbs
268,whole-chicken
271,savory-pies
273,potatoes
294,sandwiches
298,camping
308,heirloom-historical
309,broil
311,midwestern
313,pork-ribs
318,pancakes-and-waffles
319,breakfast
324,brunch
326,bacon
337,copycat
342,novelty
354,pork-chops
358,healthy
361,coffee-cakes
363,christmas
367,low-protein
368,side-dishes
371,greek
377,low-sodium
378,low-cholesterol
379,low-saturated-fat
382,healthy-2
384,15-minutes-or-less
389,no-cook
392,kosher
394,candy
398,nuts
400,gifts
406,technique
407,peanut-butter
410,sauces
411,condiments-etc
418,savory-sauces
434,lasagna
449,low-fat
450,chili
465,3-steps-or-less
497,muffins
503,sweet
520,canning
525,salsas
527,gluten-free
544,freezer
564,german
578,cake-fillings-and-frostings
601,grilling
610,vegan
616,egg-free
625,seafood
627,fish
630,freshwater-fish
631,tilapia
637,turkey
647,berries
648,blueberries
679,easter
682,thanksgiving
683,wedding
684,coconut
686,pineapple
687,carrots
689,super-bowl
721,new-years
722,valentines-day
727,pies-and-tarts
732,pies
743,bread-machine
746,yeast
748,small-appliance
758,grains
762,lentils
783,hand-formed-cookies
801,summer
810,pacific-northwest
818,microwave
825,
839,barbecue
881,cauliflower
889,salads
899,penne
928,clear-soups
949,green-yellow-beans
950,onions
958,cobblers-and-crisps
974,spring
983,superbowl
986,ham
1002,szechuan
1016,shrimp
1018,shellfish
1043,rice
1055,long-grain-rice
1064,toddler-friendly
1067,wings
1080,sweet-sauces
1108,brown-bag
1120,scottish
1126,baking
1216,marinades-and-rubs
1266,pizza
1328,irish
1330,st-patricks-day
1352,stews
1368,chowders
1378,cupcakes
1410,crusts-pastry-dough-2
1417,1-day-or-more
1443,saltwater-fish
1462,white-rice
1481,squash
1514,south-west-pacific
1518,australian
1525,strawberries
1570,peppers
1584,deep-fry
1591,cooking-mixes
1659,ravioli-tortellini
1701,dips
1751,citrus
1752,lemon
1761,snacks
1827,caribbean
1829,central-american
1834,californian
1858,burgers
1859,turkey-burgers
1916,canadian
1962,diabetic
1967,baja
2020,puddings-and-mousses
2054,mixer
2169,spreads
2178,stir-fry
2271,chocolate-chip-cookies
2292,clams
2357,hanukkah
2459,polish
2475,korean
2553,food-processor-blender
2567,independence-day
2580,served-cold
2670,passover
2676,rolled-cookies
2709,french
2733,creole
2777,scandinavian
2782,norwegian
2787,cod
2879,ontario
2919,reynolds-wrap
3081,african
3243,rolls-biscuits
3371,spanish
3467,mardi-gras-carnival
3699,pork-loins
3763,ramadan
3764,rosh-hashana
3787,curries
3793,indian
3827,british-columbian
3851,omelets-and-frittatas
3869,greens
3870,spinach
3933,infant-baby-friendly
4103,pasta-shells
4327,frozen-desserts
4385,hawaiian
4412,celebrity
4651,flat-shapes
4717,vietnamese
4908,lime
4938,wild-game
4939,deer
5006,beverages
5019,smoothies
5113,cheesecake
5138,english
5204,granola-and-porridge
5256,gumbo
5278,steam
5290,short-grain-rice
5399,south-african
5419,dairy-free
5476,oranges
5539,manicotti
5542,yams-sweet-potatoes
5557,chick-peas-garbanzos
5909,amish-mennonite
6039,herb-and-spice-mixes
6124,gelatin
6297,jams-and-preserves
6667,simply-potatoes
6738,veal
6857,scallops
6961,pennsylvania-dutch
6984,lamb-sheep
6986,middle-eastern
7238,lebanese
7239,turkish
7315,malaysian
7675,salad-dressings
7707,cuban
7778,russian
7829,new-zealand
7981,thai
8260,welsh
8300,scones
8332,stocks
8397,crab
8570,asparagus
8686,soy-tofu
8770,high-fiber
8990,south-american
8994,colombian
9217,lettuces
9629,collard-greens
9633,soul
9869,pitted-fruit
9870,peaches
9874,fudge
9931,water-bath
10376,mashed-potatoes
10377,simply-potatoes2
10516,smoker
10633,halibut
10661,trout
10673,cocktails
10818,hidden-valley-ranch
10848,beef-sausage
10911,mushrooms
11095,cherries
12041,stuffings-dressings
12089,halloween
12184,indonesian
12284,argentine
12433,rosh-hashanah
12525,jellies
12978,pakistani
13095,pears
13587,swedish
14567,cinco-de-mayo
14785,raspberries
14789,plums
14821,costa-rican
15951,jewish-ashkenazi
15981,chard
16008,garnishes
16458,moroccan
17112,biscotti
17234,chicken-livers
17535,catfish
17589,nut-free
17987,from-scratch
18543,sourdough
18891,no-shell-fish
18952,medium-grain-rice
19461,turkey-breasts
19963,whole-turkey
21694,czech
